강좌명,운영기관명,구,교육대상구분,카테고리,홈페이지주소
[9월 5일] 지능로봇리빙랩 로봇&드론 일일체험,경기도 수원시평생학습관,팔달구,전체,AI/코딩,http://learning.suwon.go.kr
[제4회 영화로운 시네마_경계를 넘어서] 3일차 19:00 _자전거 탄 소년(12세 관람가),경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[제4회 영화로운 시네마_경계를 넘어서] 3일차 10:00_두 사람을 위한 식탁(12세 관람가),경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[제4회 영화로운 시네마_경계를 넘어서] 2일차 19:00 _홍이,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
"[제4회 영화로운 시네마_경계를 넘어서] 2일차 11:00 _안경, 존재의 집, 서클",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]온라인 단편낭독 9월 도리스 레싱 「사랑하는 습관」,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
"수원특례시, 어디까지 왔고 어디로 가야하나?",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[원데이클래스] 냄비받침 만들기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[둘둘셋프로젝트]색과 이미지로 나를 수용하고 돌보다.,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
"[제4회 영화로운 시네마_경계를 넘어서] 1일차_첫여름, 백차와 우롱차, 겨우살이",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[제4회 영화로운 시네마_경계를 넘어서] 여는 강연_영화와 책을 겹쳐 읽는 감각,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]내 인생의 CEO가 되는 4주 프로젝트,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
무지한스승의만남 - 기획단 모집 저녁반,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[둘둘셋프로젝트]박물관 도슨트와 함께 떠나는 도자기 여행,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[조영호 명예교수 특강] AI와 함께하는 시니어 행복멘탈코칭,경기도 수원시평생학습관,팔달구,시니어,AI/코딩,http://learning.suwon.go.kr
[언제든학교]교육연극으로 준비하는 건강한 노년,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]단편낭독 3월 : 마거릿 애트우드,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]함께 공부하는 한자&고사성어(3월),경기도 수원시평생학습관,팔달구,성인,학습/진로,http://learning.suwon.go.kr
